id,distance_from_goal,angle_from_goal,angle_from_shot_location_on_goal,dif_goal_centre_from_goal_loc,goal_y,saved,power
153,24.890962600708,15.3762512207031,-0.954841256141663,7,3,0,1
154,58.2494621276855,34.5085220336914,28.442928314209,7,2,0,2
155,31.1133403778076,39.522632598877,43.5312004089355,3,4,1,2
156,36.5999984741211,10.3888578414917,-6.96825695037842,11,4,0,2
157,48.8364601135254,42.5104484558105,46.5481567382813,5,4,1,2
158,24.890962600708,15.3762512207031,-5.71059322357178,9,2,0,2
159,48.8364601135254,42.5104484558105,33.6900672912598,9,1,0,3
160,36.5999984741211,10.3888578414917,5.71059322357178,3,2,1,2
161,31.1133403778076,39.522632598877,40.9143829345703,1,4,0,3
162,51.9234046936035,22.4161472320557,21.3886222839355,1,3,1,2
163,48.4516258239746,7.82907629013062,18.0041618347168,9,4,0,2
164,24.890962600708,15.3762512207031,29.538782119751,7,4,0,2
165,90.2496566772461,21.4477367401123,23.1985912322998,3,2,1,4
166,14.4070291519165,51.3401908874512,57.7243537902832,3,1,1,0
167,72.8354339599609,8.686354637146,0,11,4,1,3
168,41.085765838623,28.8107929229736,32.3474426269531,3,1,1,2
169,24.890962600708,15.3762512207031,29.538782119751,7,4,0,2
170,24.890962600708,15.3762512207031,17.5712585449219,1,4,1,2
171,9.75,22.6198654174805,4.76364183425903,3,4,0,1
172,24.890962600708,15.3762512207031,8.53076553344727,3,3,1,2
173,9.75,22.6198654174805,4.76364183425903,3,3,0,1
174,58.5699577331543,52.0735359191895,45.9391899108887,9,4,1,3
175,36.5999984741211,10.3888578414917,5.71059322357178,3,4,1,1
176,31.1133403778076,39.522632598877,34.9920196533203,3,4,1,2
177,41.085765838623,28.8107929229736,16.6992435455322,9,4,1,2
178,61,10.3888578414917,0,11,4,0,2
179,68.4762725830078,28.8107929229736,29.538782119751,1,2,0,4
180,40.8044128417969,53.9726257324219,47.2906112670898,7,2,1,4
181,9.75,22.6198654174805,-19.8552150726318,7,2,0,3
182,66.6216201782227,43.9053077697754,40.6405906677246,5,1,0,2
183,41.085765838623,28.8107929229736,34.5625228881836,5,4,1,2
184,31.1133403778076,39.522632598877,34.9920196533203,3,1,1,2
185,51.9234046936035,22.4161472320557,25.4077186584473,3,4,1,2
186,24.890962600708,15.3762512207031,29.538782119751,7,3,0,1
187,52.0618858337402,62.5490036010742,57.171459197998,9,2,0,2
188,31.1133403778076,39.522632598877,50.1944274902344,9,4,1,2
189,24.890962600708,15.3762512207031,3.81407475471497,5,3,1,2
190,48.8364601135254,42.5104484558105,45,3,4,0,3
191,41.085765838623,28.8107929229736,40.5488243103027,11,4,0,2
